Source:,/home/caudanie/Documents/KiCadProjects/MMDVM_HS_Hat/mmdvm_hs-hat.sch,,,,,,,,,,
Date:,Mon 28 May 2018 01:47:52 PM CEST,,,,,,,,,,
Tool:,Eeschema 5.0.0-rc2-unknown-da66005~65~ubuntu16.04.1,,,,,,,,,,
Generator:,/usr/lib/x86_64-linux-gnu/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,76,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
,,AE1,CERAMIC_ANTENNA,mmdvm_hs-hat-rescue:Antenna_Dipole-RESCUE-mmdvm_hs-hat,MMDVM:ANT1204,http://www.mouser.com/ds/2/447/An_SMD_UHF_433_1204_0-595178.pdf,Yageo,ANT1204F002R0433A,603-ANT1204F002R0433,Mouser,
,,C1,6p8,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GJM1555C1H6R8BB01D,81-GJM1555C1H6R8BB1D,Mouser,
,,C2,10n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402Y103KXJCW1BC,77-VJ0402Y103KXJCBC,Mouser,
,,C3,220p,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRM1555C1H221JA01D,81-GRM1555C1H221JA01,Mouser,
,,C4,10p,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRM1555C1E100GA01D,81-GRM1555C1E100GA1D,Mouser,
,,C5,4p7,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRM1555C1H4R7CA01D,81-GRM1555C1H4R7CA1D,Mouser,
,,C6,6p8,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GJM1555C1H6R8BB01D,81-GJM1555C1H6R8BB1D,Mouser,
,,C7,10n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402Y103KXJCW1BC,77-VJ0402Y103KXJCBC,Mouser,
,,C8,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C9,10n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402Y103KXJCW1BC,77-VJ0402Y103KXJCBC,Mouser,
